,Player,Tm,season17_18
1,Stephen Curry,GSW,"$34,682,550 "
2,LeBron James,CLE,"$33,285,709 "
3,Paul Millsap,DEN,"$31,269,231 "
4,Gordon Hayward,BOS,"$29,727,900 "
5,Blake Griffin,DET,"$29,512,900 "
6,Kyle Lowry,TOR,"$28,703,704 "
7,Russell Westbrook,OKC,"$28,530,608 "
8,Mike Conley,MEM,"$28,530,608 "
9,James Harden,HOU,"$28,299,399 "
10,DeMar DeRozan,TOR,"$27,739,975 "
11,Al Horford,BOS,"$27,734,405 "
12,Carmelo Anthony,OKC,"$26,243,760 "
13,Damian Lillard,POR,"$26,153,057 "
14,Jrue Holiday,NOP,"$25,686,667 "
15,Chris Bosh,MIA,"$25,289,390 "
16,Kevin Durant,GSW,"$25,000,000 "
17,Otto Porter,WAS,"$24,773,250 "
18,Chris Paul,HOU,"$24,599,495 "
19,C.J. McCollum,POR,"$23,962,573 "
20,Bradley Beal,WAS,"$23,775,506 "
21,Anthony Davis,NOP,"$23,775,506 "
22,Andre Drummond,DET,"$23,775,506 "
23,Hassan Whiteside,MIA,"$23,775,506 "
24,Dwight Howard,CHO,"$23,500,000 "
25,Chandler Parsons,MEM,"$23,112,004 "
26,Harrison Barnes,DAL,"$23,112,004 "
27,J.J. Redick,PHI,"$23,000,000 "
28,Marc Gasol,MEM,"$22,642,350 "
29,Kevin Love,CLE,"$22,642,350 "
30,Brook Lopez,LAL,"$22,642,350 "
31,DeAndre Jordan,LAC,"$22,642,350 "
32,Steven Adams,OKC,"$22,471,910 "
33,Giannis Antetokounmpo,MIL,"$22,471,910 "
34,Nicolas Batum,CHO,"$22,434,783 "
35,Rudy Gobert,UTA,"$21,974,719 "
36,LaMarcus Aldridge,SAS,"$21,461,010 "
37,Victor Oladipo,IND,"$21,000,000 "
38,Enes Kanter,NYK,"$20,566,802 "
39,Danilo Gallinari,LAC,"$20,559,599 "
40,Serge Ibaka,TOR,"$20,061,729 "
41,George Hill,CLE,"$20,000,000 "
42,Ryan Anderson,HOU,"$19,578,455 "
43,Paul George,OKC,"$19,508,958 "
44,Allen Crabbe,BRK,"$19,332,500 "
45,Jimmy Butler,MIN,"$19,301,070 "
46,Jeff Teague,MIN,"$19,000,000 "
47,Kawhi Leonard,SAS,"$18,868,625 "
48,Kyrie Irving,BOS,"$18,868,625 "
49,John Wall,WAS,"$18,063,850 "
50,DeMarcus Cousins,NOP,"$18,063,850 "
51,Greg Monroe,PHO,"$17,884,176 "
52,Wesley Matthews,DAL,"$17,884,176 "
53,Klay Thompson,GSW,"$17,826,150 "
54,Joakim Noah,NYK,"$17,765,000 "
55,Kentavious Caldwell-Pope,LAL,"$17,745,894 "
56,Luol Deng,LAL,"$17,190,000 "
57,Evan Turner,POR,"$17,131,148 "
58,Goran Dragic,MIA,"$17,000,450 "
59,Evan Fournier,ORL,"$17,000,000 "
60,Bismack Biyombo,ORL,"$17,000,000 "
61,Kent Bazemore,ATL,"$16,910,113 "
62,Robert Covington,PHI,"$16,698,103 "
63,Ian Mahinmi,WAS,"$16,661,641 "
64,Tim Hardaway,NYK,"$16,500,000 "
65,Draymond Green,GSW,"$16,400,000 "
66,Tristan Thompson,CLE,"$16,400,000 "
67,Reggie Jackson,DET,"$16,000,000 "
68,Pau Gasol,SAS,"$16,000,000 "
69,Tobias Harris,LAC,"$16,000,000 "
70,Dwyane Wade,CHI,"$15,550,000 "
71,Dennis Schroder,ATL,"$15,500,000 "
72,Jonas Valanciunas,TOR,"$15,460,675 "
73,Tony Parker,SAS,"$15,453,126 "
74,Timofey Mozgov,BRK,"$15,280,000 "
75,Andre Iguodala,GSW,"$14,814,815 "
76,DeMarre Carroll,BRK,"$14,800,000 "
77,Thaddeus Young,IND,"$14,796,348 "
